資料日期,股票代號,股票名稱,除權息前收盤價,除權息參考價,權值+息值,權/息,漲停價格,跌停價格,開盤競價基準,減除股利參考價,詳細資料,最近一次申報資料 季別/日期,最近一次申報每股 (單位)淨值,最近一次申報每股 (單位)盈餘
94年05月19日,0050,元大台灣50,46.69,44.84,1.85,息,47.97,41.71,44.84,44.84,除權息資料,0110年03月16日,135.5,
95年10月26日,0050,元大台灣50,57.4,53.4,4.0,息,57.1,49.67,53.4,53.4,除權息資料,0110年03月16日,135.5,
96年10月24日,0050,元大台灣50,70.6,68.1,2.5,息,72.85,63.35,68.1,68.1,除權息資料,0110年03月16日,135.5,
97年10月24日,0050,元大台灣50,35.51,33.51,2.0,息,35.85,32.34,33.51,33.51,除權息資料,0110年03月16日,135.5,
98年10月23日,0050,元大台灣50,53.7,52.7,1.0,息,56.35,49.02,52.7,52.7,除權息資料,0110年03月16日,135.5,
99年10月25日,0050,元大台灣50,57.1,54.9,2.2,息,58.7,51.1,54.9,54.9,除權息資料,0110年03月16日,135.5,
0100年10月26日,0050,元大台灣50,53.6,51.65,1.95,息,55.25,48.04,51.65,51.65,除權息資料,0110年03月16日,135.5,
0101年10月24日,0050,元大台灣50,52.9,51.05,1.85,息,54.6,47.48,51.05,51.05,除權息資料,0110年03月16日,135.5,
0102年10月24日,0050,元大台灣50,58.7,57.35,1.35,息,61.35,53.35,57.35,57.35,除權息資料,0110年03月16日,135.5,
0103年10月24日,0050,元大台灣50,65.05,63.5,1.55,息,67.9,59.1,63.5,63.5,除權息資料,0110年03月16日,135.5,
0104年10月26日,0050,元大台灣50,65.9,63.9,2.0,息,70.25,57.55,63.9,63.9,除權息資料,0110年03月16日,135.5,
0105年07月28日,0050,元大台灣50,69.7,68.85,0.85,息,75.7,62,68.85,68.85,除權息資料,0110年03月16日,135.5,
0106年02月08日,0050,元大台灣50,73.3,71.6,1.7,息,78.75,64.45,71.6,71.6,除權息資料,0110年03月16日,135.5,
0106年07月31日,0050,元大台灣50,82.1,81.4,0.7,息,89.5,73.3,81.4,81.4,除權息資料,0110年03月16日,135.5,
0107年01月29日,0050,元大台灣50,87.5,85.3,2.2,息,93.8,76.8,85.3,85.3,除權息資料,0110年03月16日,135.5,
0107年07月23日,0050,元大台灣50,84.65,83.95,0.7,息,92.3,75.6,83.95,83.95,除權息資料,0110年03月16日,135.5,
0108年01月22日,0050,元大台灣50,76.5,74.2,2.3,息,81.6,66.8,74.2,74.2,除權息資料,0110年03月16日,135.5,
0108年07月19日,0050,元大台灣50,82.7,82,0.7,息,90.2,73.8,82,82,除權息資料,0110年03月16日,135.5,
0109年01月31日,0050,元大台灣50,92.15,89.25,2.9,息,98.15,80.35,89.25,89.25,除權息資料,0110年03月16日,135.5,
0109年07月21日,0050,元大台灣50,97.05,96.35,0.7,息,105.95,86.75,96.35,96.35,除權息資料,0110年03月16日,135.5,
0110年01月22日,0050,元大台灣50,143,139.95,3.05,息,153.9,126,139.95,139.95,除權息資料,0110年03月16日,135.5,
